Date,Leg,Entry_Time,Strike,Sell_Price,Exit_Time,Exit_Price,Qty,Premium_Collected,PnL,Reason,Capital_After
2023-12-27,PE,10:32,21550,56.75,12:23,72.35,65,3688.75,-1014.0,SL Hit (21545.8 <= 21550.3),182491.5
2023-12-27,CE,12:34,21550,70.65,14:44,106.15,65,4592.25,-2307.5,SL Hit (21588.5 >= 21586.4),180184.0
2023-12-27,PE,13:52,21550,58.25,15:16,24.8,65,3786.25,2174.25,Settlement 15:15,182358.25
2023-12-28,PE,09:55,21750,56.55,10:03,66.85,65,3675.75,-669.5,SL Hit (21710.8 <= 21717.3),181688.75
2023-12-28,CE,10:09,21700,67.85,12:29,94.05,65,4410.25,-1703.0,SL Hit (21766.4 >= 21766.0),179985.75
2023-12-28,CE,12:55,21750,36.25,13:13,43.8,65,2356.25,-490.75,SL Hit (21775.1 >= 21771.3),179495.0
2023-12-28,CE,13:29,21750,31.5,15:04,22.55,65,2047.5,581.75,SL Hit (21774.5 >= 21773.2),180076.75
2023-12-28,PE,11:14,21750,38.75,15:16,0.1,65,2518.75,2512.25,Settlement 15:15,182589.0
2023-12-29,PE,10:51,21700,120.05,10:54,123.95,65,7803.25,-253.5,SL Hit (21708.0 <= 21711.7),182335.5
2023-12-29,CE,10:01,21750,159.6,11:57,166.75,65,10374.0,-464.75,SL Hit (21748.3 >= 21745.0),181870.75
2023-12-29,CE,12:18,21750,174.5,12:21,181.95,65,11342.5,-484.25,SL Hit (21750.7 >= 21748.8),181386.5
2023-12-29,PE,11:26,21750,135.3,14:09,130.3,65,8794.5,325.0,SL Hit (21710.3 <= 21710.8),181711.5
2023-12-29,CE,12:37,21750,163.7,15:01,177.25,65,10640.5,-880.75,SL Hit (21757.0 >= 21756.4),180830.75
2023-12-29,PE,14:43,21700,109.15,15:16,97.3,65,7094.75,770.25,Settlement 15:15,181601.0
2024-01-01,CE,10:14,21700,139.6,10:49,153.2,65,9074.0,-884.0,SL Hit (21737.8 >= 21735.9),180717.0
2024-01-01,CE,11:41,21750,120.9,12:48,119.7,65,7858.5,78.0,SL Hit (21747.5 >= 21746.8),180795.0
2024-01-01,CE,13:14,21750,123.05,13:28,128.95,65,7998.25,-383.5,SL Hit (21746.9 >= 21746.6),180411.5
2024-01-01,PE,09:55,21700,89.8,15:16,67.9,65,5837.0,1423.5,Settlement 15:15,181835.0
2024-01-02,CE,10:03,21650,112.45,15:16,94.35,65,7309.25,1176.5,Settlement 15:15,183011.5
2024-01-02,PE,12:04,21600,87.9,15:16,60.5,65,5713.5,1781.0,Settlement 15:15,184792.5
2024-01-03,PE,11:25,21550,52.6,11:31,57.7,65,3419.0,-331.5,SL Hit (21558.5 <= 21559.8),184461.0
2024-01-03,PE,11:54,21600,62.65,12:21,87.0,65,4072.25,-1582.75,SL Hit (21551.3 <= 21553.3),182878.25
2024-01-03,PE,13:10,21550,56.45,14:31,68.0,65,3669.25,-750.75,SL Hit (21547.8 <= 21550.6),182127.5
2024-01-03,CE,10:25,21550,86.6,15:16,30.4,65,5629.0,3653.0,Settlement 15:15,185780.5
2024-01-04,CE,09:56,21600,31.6,10:08,40.85,65,2054.0,-601.25,SL Hit (21620.5 >= 21618.4),185179.25
2024-01-04,CE,10:54,21650,18.1,11:06,21.0,65,1176.5,-188.5,SL Hit (21646.8 >= 21645.0),184990.75
2024-01-04,CE,11:30,21650,15.0,12:23,21.75,65,975.0,-438.75,SL Hit (21655.0 >= 21654.8),184552.0
2024-01-04,PE,10:23,21650,34.5,15:16,0.9,65,2242.5,2184.0,Settlement 15:15,186736.0
2024-01-05,PE,10:01,21750,117.85,10:43,126.2,65,7660.25,-542.75,SL Hit (21711.7 <= 21720.1),186193.25
2024-01-05,PE,12:13,21700,110.5,13:40,121.65,65,7182.5,-724.75,SL Hit (21676.7 <= 21678.2),185468.5
2024-01-05,CE,10:24,21750,114.25,15:16,93.25,65,7426.25,1365.0,Settlement 15:15,186833.5
2024-01-05,PE,14:53,21700,102.3,15:16,99.45,65,6649.5,185.25,Settlement 15:15,187018.75
