Date,Leg,Entry_Time,Strike,Sell_Price,Exit_Time,Exit_Price,Qty,Premium_Collected,PnL,Reason,Capital_After,Spot_945,Slope_CE,Slope_PE
2024-02-16,CE,09:45,22000,176.55,15:15,183.9,65,11475.75,-477.75,Settlement 15:15,172036.25,21989.35,2.65,2.95
2024-02-19,CE,09:45,22050,138.3,10:25,166.2,65,8989.5,-1813.5,SL Hit (166.20 >= 165.96),170222.75,22057.7,-21.05,17.15
2024-02-20,PE,09:45,22100,128.45,09:53,156.2,65,8349.25,-1803.75,SL Hit (156.20 >= 154.14),168419.0,22110.05,15.2,-16.9
2024-02-21,PE,09:45,22250,111.85,10:27,135.35,65,7270.25,-1527.5,SL Hit (135.35 >= 134.22),166891.5,22234.05,3.35,-19.55
2024-02-22,CE,09:45,22050,56.0,14:46,72.0,65,3640.0,-1040.0,SL Hit (72.00 >= 67.20),165851.5,22050.6,-0.35,1.4
2024-02-23,PE,09:45,22250,147.2,15:15,157.0,65,9568.0,-637.0,Settlement 15:15,165214.5,22260.15,9.05,-7.8
2024-02-26,PE,09:45,22200,131.7,09:52,163.15,65,8560.5,-2044.25,SL Hit (163.15 >= 158.04),163170.25,22198.2,21.55,-22.4
2024-02-27,PE,09:45,22150,134.1,15:15,85.25,65,8716.5,3175.25,Settlement 15:15,166345.5,22138.15,15.0,-11.6
2024-02-28,PE,09:45,22200,92.7,10:50,121.0,65,6025.5,-1839.5,SL Hit (121.00 >= 111.24),164506.0,22210.15,-3.55,-3.9
2024-02-29,PE,09:45,21950,68.95,10:10,92.05,65,4481.75,-1501.5,SL Hit (92.05 >= 82.74),163004.5,21957.3,13.1,-28.75
2024-03-01,PE,09:45,22200,164.9,15:15,96.7,65,10718.5,4433.0,Settlement 15:15,167437.5,22175.5,25.3,-16.15
2024-03-02,PE,09:45,22400,155.75,15:15,127.15,65,10123.75,1859.0,Settlement 15:15,169296.5,22406.0,13.65,-6.25
2024-03-04,CE,09:45,22400,140.9,15:15,117.6,65,9158.5,1514.5,Settlement 15:15,170811.0,22387.8,-7.55,6.1
2024-03-05,PE,09:45,22350,113.6,10:19,136.8,65,7384.0,-1508.0,SL Hit (136.80 >= 136.32),169303.0,22363.8,-2.8,-7.85
2024-03-06,PE,09:45,22350,91.05,09:54,109.55,65,5918.25,-1202.5,SL Hit (109.55 >= 109.26),168100.5,22350.75,22.3,-26.05
2024-03-07,CE,09:45,22500,36.75,15:15,2.35,65,2388.75,2236.0,Settlement 15:15,170336.5,22480.55,-18.1,-8.3
2024-03-11,CE,09:45,22450,138.65,15:15,71.8,65,9012.25,4345.25,Settlement 15:15,174681.75,22472.35,-18.65,3.0
2024-03-12,PE,09:45,22400,90.15,10:45,109.2,65,5859.75,-1238.25,SL Hit (109.20 >= 108.18),173443.5,22417.35,32.35,-30.85
2024-03-13,CE,09:45,22350,105.25,15:15,8.15,65,6841.25,6311.5,Settlement 15:15,179755.0,22332.0,-25.05,16.95
2024-03-14,PE,09:45,22000,53.65,09:51,67.7,65,3487.25,-913.25,SL Hit (67.70 >= 64.38),178841.75,22007.75,27.0,-53.15
2024-03-15,CE,09:45,22050,167.9,15:15,149.15,65,10913.5,1218.75,Settlement 15:15,180060.5,22044.55,-27.1,37.7
2024-03-18,CE,09:45,21950,155.75,10:18,190.45,65,10123.75,-2255.5,SL Hit (190.45 >= 186.90),177805.0,21959.45,-9.95,19.1
2024-03-19,CE,09:45,21950,138.0,15:15,54.15,65,8970.0,5450.25,Settlement 15:15,183255.25,21965.7,-10.4,9.9
2024-03-20,PE,09:45,21850,81.7,09:59,104.15,65,5310.5,-1459.25,SL Hit (104.15 >= 98.04),181796.0,21859.6,-1.55,-6.65
2024-03-21,CE,09:45,22000,40.15,10:04,59.0,65,2609.75,-1225.25,SL Hit (59.00 >= 48.18),180570.75,22004.35,-13.55,-10.55
2024-03-22,CE,09:45,21900,180.15,09:59,223.9,65,11709.75,-2843.75,SL Hit (223.90 >= 216.18),177727.0,21916.05,-41.8,23.75
2024-03-26,CE,09:45,22000,151.8,10:30,185.35,65,9867.0,-2180.75,SL Hit (185.35 >= 182.16),175546.25,22012.85,-34.7,7.75
2024-03-27,PE,09:45,22100,60.45,15:15,33.2,65,3929.25,1771.25,Settlement 15:15,177317.5,22118.6,31.25,-29.55
2024-03-28,PE,09:45,22250,37.8,15:15,5.95,65,2457.0,2070.25,Settlement 15:15,179387.75,22257.6,46.15,-42.6
2024-04-01,PE,09:45,22500,120.6,15:15,105.75,65,7839.0,965.25,Settlement 15:15,180353.0,22492.6,14.05,-20.55
2024-04-02,PE,09:45,22450,96.0,10:26,115.2,65,6240.0,-1248.0,SL Hit (115.20 >= 115.20),179105.0,22473.55,15.65,-18.4
2024-04-03,CE,09:45,22350,71.35,10:02,94.4,65,4637.75,-1498.25,SL Hit (94.40 >= 85.62),177606.75,22374.45,-13.3,3.7
