Date,Starting_Capital,Ending_Capital,CE_PnL,PE_PnL,Total_PnL,Return_Pct,Trades_Count,Sold_Leg,Slope_CE,Slope_PE,Strike
2025-03-17,236282.25,234940.0,0.0,-1342.25,-1342.25,-0.5680706020024779,1,PE,30.45,-34.7,22550
2025-03-18,234940.0,238615.75,0.0,3675.75,3675.75,1.5645483953349792,1,PE,39.75,-31.35,22650
2025-03-19,238615.75,240344.75,0.0,1729.0,1729.0,0.7245959246193933,1,PE,2.55,-5.65,22850
2025-03-20,240344.75,239610.25,0.0,-734.5,-734.5,-0.3056026811486417,1,PE,1.55,-42.4,23050
2025-03-21,239610.25,241748.75,0.0,2138.5,2138.5,0.8924910349202506,1,PE,51.1,-54.95,23250
2025-03-24,241748.75,246610.75,0.0,4862.0,4862.0,2.0111789616285503,1,PE,10.2,6.5,23500
2025-03-25,246610.75,244261.0,0.0,-2349.75,-2349.75,-0.9528173447426765,1,PE,3.0,-14.4,23800
2025-03-26,244261.0,242340.25,-1920.75,0.0,-1920.75,-0.7863514846823685,1,CE,-36.65,3.85,23600
2025-03-27,242340.25,245379.0,0.0,3038.75,3038.75,1.2539188186857115,1,PE,33.5,-73.4,23550
2025-03-28,245379.0,242642.5,-2736.5,0.0,-2736.5,-1.1152136083364916,1,CE,-77.5,29.4,23500
2025-04-01,242642.5,240705.5,0.0,-1937.0,-1937.0,-0.7982937861256787,1,PE,35.4,-59.95,23550
2025-04-02,240705.5,238446.75,-2258.75,0.0,-2258.75,-0.9383873654735766,1,CE,-7.0,2.3,23200
2025-04-03,238446.75,242064.0,0.0,3617.25,3617.25,1.5170053691232948,1,PE,-5.85,-45.95,23250
2025-04-04,242064.0,248551.0,6487.0,0.0,6487.0,2.679869786502743,1,CE,-42.9,9.8,23050
2025-04-07,248551.0,244290.25,-4260.75,0.0,-4260.75,-1.7142357101761811,1,CE,-168.7,2.25,22000
2025-04-08,244290.25,241371.75,-2918.5,0.0,-2918.5,-1.1946854203145645,1,CE,-58.5,-34.95,22500
2025-04-09,241371.75,239447.75,0.0,-1924.0,-1924.0,-0.7971106809309706,1,PE,-50.5,-96.4,22450
2025-04-11,239447.75,236513.0,0.0,-2934.75,-2934.75,-1.2256327319843263,1,PE,59.65,-47.1,22850
2025-04-15,236513.0,238424.0,0.0,1911.0,1911.0,0.8079894128441142,1,PE,-21.9,-38.6,23300
2025-04-16,238424.0,236942.0,0.0,-1482.0,-1482.0,-0.6215817199610778,1,PE,36.85,-45.95,23350
2025-04-17,236942.0,235629.0,0.0,-1313.0,-1313.0,-0.5541440521309012,1,PE,33.8,-12.8,23400
2025-04-21,235629.0,241417.25,0.0,5788.25,5788.25,2.45651002211103,1,PE,20.0,-23.65,24000
2025-04-22,241417.25,242294.75,0.0,877.5,877.5,0.36347858324125554,1,PE,5.15,-13.95,24150
2025-04-23,242294.75,240266.75,0.0,-2028.0,-2028.0,-0.8369970872253731,1,PE,12.3,-27.8,24350
2025-04-24,240266.75,239477.0,-789.75,0.0,-789.75,-0.32869716679482286,1,CE,-4.1,-3.4,24250
2025-04-25,239477.0,245830.75,6353.75,0.0,6353.75,2.6531775494097554,1,CE,-76.8,51.4,24200
2025-04-28,245830.75,249708.0,0.0,3877.25,3877.25,1.5772030146757474,1,PE,25.8,-64.8,24200
2025-04-29,249708.0,253039.25,3331.25,0.0,3331.25,1.3340581799541866,1,CE,-40.25,36.9,24350
2025-04-30,253039.25,252184.5,0.0,-854.75,-854.75,-0.3377934450880644,1,PE,14.3,-73.8,24350
2025-05-02,252184.5,250033.0,0.0,-2151.5,-2151.5,-0.853145217093041,1,PE,54.2,-90.9,24550
2025-05-05,250033.0,252207.25,0.0,2174.25,2174.25,0.8695852147516527,1,PE,-1.55,-12.6,24450
2025-05-06,252207.25,254943.75,2736.5,0.0,2736.5,1.0850203552832045,1,CE,-24.85,-15.6,24450
2025-05-07,254943.75,253341.5,0.0,-1602.25,-1602.25,-0.6284719668554338,1,PE,22.65,-25.85,24400
2025-05-08,253341.5,254394.5,1053.0,0.0,1053.0,0.4156444956708632,1,CE,-30.0,18.7,24400
2025-05-09,254394.5,258752.75,4358.25,0.0,4358.25,1.7131856231168519,1,CE,-34.45,-13.7,24100
2025-05-12,258752.75,262847.75,0.0,4095.0,4095.0,1.5825918758351363,1,PE,52.85,-48.5,24600
2025-05-13,262847.75,260225.0,-2622.75,0.0,-2622.75,-0.9978209819182398,1,CE,-125.3,73.7,24750
2025-05-14,260225.0,258447.25,0.0,-1777.75,-1777.75,-0.6831588048803919,1,PE,38.65,-93.4,24750
2025-05-15,258447.25,257111.5,-1335.75,0.0,-1335.75,-0.5168366078571159,1,CE,-98.9,52.15,24500
2025-05-16,257111.5,257342.25,230.75,0.0,230.75,0.08974705526590604,1,CE,-16.9,-11.35,25000
2025-05-19,257342.25,255158.25,0.0,-2184.0,-2184.0,-0.8486752563949371,1,PE,10.6,-20.15,25000
2025-05-20,255158.25,252535.5,-2622.75,0.0,-2622.75,-1.0278915143837208,1,CE,-56.75,31.95,24900
2025-05-21,252535.5,249789.25,0.0,-2746.25,-2746.25,-1.087470870432078,1,PE,60.55,-28.65,24800
2025-05-22,249789.25,248937.75,-851.5,0.0,-851.5,-0.3408873680512672,1,CE,-126.85,12.35,24550
2025-05-23,248937.75,250666.75,0.0,1729.0,1729.0,0.6945511478271174,1,PE,60.4,-60.3,24750
2025-05-26,250666.75,248040.75,0.0,-2626.0,-2626.0,-1.0476060347054406,1,PE,49.15,-41.1,25050
